question,document
What are the steps to install Ollama on Linux?,1d0b969028
How do I test if my Ollama local server is working properly?,1d0b969028
Do I need to install anything else to use Ollama with Python?,1d0b969028
What does a Connection refused error when prompting Ollama RAG mean?,c6fc2d4d11
How do I fix a Connection refused error with Ollama RAG?,c6fc2d4d11
What command can I use to restart the Ollama server?,c6fc2d4d11
What happens if I stop and restart the notebook cell with ollama serve?,c6fc2d4d11
How do I run the ollama serve command in the background?,c6fc2d4d11
Why do token counts from tiktoken and OpenAI's API not match?,bf0403d21b
What causes the difference in token count reported by OpenAI and my local count?,bf0403d21b
"I'm getting a different token count with tiktoken than OpenAI's API, what's going on?",bf0403d21b
Can you explain why OpenAI's token count is more than what I counted locally?,bf0403d21b
Why does OpenAI add extra tokens that aren't visible in my prompt?,bf0403d21b
How can I set API keys once and not re-export them every time I open a new terminal?,8b2f5e9d04
What tool can I use to load my API keys automatically when I navigate to my project directory?,8b2f5e9d04
"I'm using direnv, can I use it to load my API keys instead of dirdotenv?",8b2f5e9d04
How do I keep my API keys secure and prevent them from being committed to GitHub?,8b2f5e9d04
What's the best way to load API keys in my Python scripts?,8b2f5e9d04
What's the best way to choose field weights for search engines like minsearch?,87d4ea4e08
How do I know which field weights to use for optimal search results?,87d4ea4e08
Is there a systematic approach to setting field weights in minsearch?,87d4ea4e08
Can I just use trial and error to find good field weights or is there a better method?,87d4ea4e08
How do I evaluate if my field weights are good for a search engine?,87d4ea4e08
What are the steps to prepare documents for RAG?,649c280e6d
How do I clean my data for RAG?,649c280e6d
What format should I store my processed documents in?,649c280e6d
How should I chunk my documents for better retrieval?,649c280e6d
What kind of metadata should I keep for my documents?,649c280e6d
What happens when uv fails to hardlink files in Codespaces?,acf8fa5356
Does uv installation still work if it fails to hardlink files?,acf8fa5356
How can I suppress the uv warning about hardlinking files in Codespaces?,acf8fa5356
How do I make the UV_LINK_MODE setting persistent in my Codespaces environment?,acf8fa5356
Where can I find more information about uv's hardlinking issue in Codespaces?,acf8fa5356
What do I need to install for dotenv to work?,0bed1f48da
How do I use dotenv in my Python project?,0bed1f48da
"dotenv is not recognized, what is the solution?",0bed1f48da
How do I import dotenv in Python?,0bed1f48da
What package should I use to load environment variables from a .env file?,0bed1f48da
How do I set up my local environment for this course?,aa310de435
What tools do I need to run the course on my own computer?,aa310de435
Is it hard to run the course locally instead of using Codespaces?,aa310de435
Can I use my own Python environment for the course?,aa310de435
What if my local setup doesn't work like Codespaces?,aa310de435
What happens to my code in Codespaces if I don't commit it?,610ccb23c0
"If I don't commit my code in Codespaces, is it still saved somewhere?",610ccb23c0
Does Codespaces save my code if I forget to commit it?,610ccb23c0
"What if I don't commit my code in Codespaces, does it get lost?",610ccb23c0
Is my code in Codespaces still safe if I don't commit it to GitHub?,610ccb23c0
Why does WSL2 say my model needs more system memory than I have available when my system actually has enough?,f3dd94f323
How do I increase the RAM allocated to WSL2 to run memory-intensive models?,f3dd94f323
What file do I need to create in my Windows user profile to change WSL2 memory settings?,f3dd94f323
How do I restart WSL2 after changing its configuration files?,f3dd94f323
How can I verify that WSL2 has allocated more memory after making changes?,f3dd94f323
What do I do if my Codespace is stuck on 'Finishing up' and won't reconnect?,830f3d2018
How can I recover my setup if it disappears in GitHub Codespaces?,830f3d2018
Is there a way to fix Codespace reliability issues or should I try something else?,830f3d2018
What happens to my uncommitted changes if I stop or delete my Codespace?,830f3d2018
Can I run this course on my local machine instead of using Codespaces?,830f3d2018
Can I use a different LLM provider other than OpenAI for this course?,c6ff9083c0
"What if OpenAI is blocked in my region, are there any alternatives?",c6ff9083c0
Do I need to change the code if I want to use a different LLM provider?,c6ff9083c0
Can I run a model locally instead of using an external API?,c6ff9083c0
Are there any resources that list alternative LLM providers I can use?,c6ff9083c0
What are some strategies to prevent hitting OpenAI rate limits while working on course notebooks?,8e21752415
How can I modify the OpenAI Python client to handle 429 errors automatically?,8e21752415
Is there a way to reduce the number of API calls when processing multiple documents in a notebook?,8e21752415
Can I use a different OpenAI model or provider to avoid rate limits during the course?,8e21752415
What should I do if I'm seeing 'insufficient_quota' errors instead of rate limits?,8e21752415
What's the difference between tools and functions in agentic RAG?,c296ea5a21
How does agentic RAG decide when to use a tool or function?,c296ea5a21
Can you give examples of tools or functions used in agentic RAG?,c296ea5a21
Is retrieval a fixed step in agentic RAG like it is in basic RAG?,c296ea5a21
What happens when a model needs external help in agentic RAG?,c296ea5a21
What free models support tool use?,0d74a3616f
Can I use tool use for free?,0d74a3616f
Are there any free models with tool use support other than OpenAI?,0d74a3616f
How do I use tool use with free models?,0d74a3616f
Do I need to adapt code for free models with tool use?,0d74a3616f
I'm getting an AttributeError when using OpenAI's Responses API with a non-OpenAI model. What's going on?,9e7b3f0c25
How do I fix the 'str' object has no attribute 'output' error when using a non-OpenAI model with OpenAI's Responses API?,9e7b3f0c25
Can I use the Responses API with non-OpenAI providers like Mistral or Gemini?,9e7b3f0c25
What API should I use for non-OpenAI providers to get the response content?,9e7b3f0c25
Is it okay to use the older chat.completions API for homework if my provider supports it better?,9e7b3f0c25
"I'm getting an Error code: 400 with a missing required parameter: 'tools[0].function' when using Azure OpenAI, what should I do?",b9c7c6bb34
"My Azure OpenAI error says 'Missing required parameter: 'tools[0].function'', how do I fix this?",b9c7c6bb34
What does 'Missing required parameter: 'tools[0].function'' error in Azure OpenAI mean and how to resolve it?,b9c7c6bb34
"I'm using Azure OpenAI and getting an error about a missing 'tools[0].function' parameter, can someone help?",b9c7c6bb34
How do I modify my Azure OpenAI tool to fix the 'Missing required parameter: 'tools[0].function'' error?,b9c7c6bb34
How to use toyaikit with Groq without getting a 404 error?,0224d980b3
Can I use toyaikit with Anthropic instead of OpenAI?,0224d980b3
What is the correct way to use toyaikit with non-OpenAI providers?,0224d980b3
How do I switch from OpenAI to Groq in toyaikit?,0224d980b3
What are the differences in using toyaikit with OpenAI vs Anthropic?,0224d980b3
How do I access the homework questions for Module 1?,53f15299b6
Are the homework questions available on the course platform?,53f15299b6
Where can I find more context for the homework instructions?,53f15299b6
Can I submit my homework through GitHub?,53f15299b6
What is the best place to check for homework deadlines?,53f15299b6
Why does my query return an empty list after filtering in HW Q3?,83da208a64
How do I fix the indexing error that's causing my query to return nothing?,83da208a64
What do I need to do before applying filters and queries to my data?,83da208a64
Why do I have to add index settings before adding data for my query to work?,83da208a64
What are the steps to resolve the issue of getting an empty list when filtering my query?,83da208a64
Why does OpenRouter return a 402 error when calling responses.create?,cfb07a27d5
How do I fix the OpenRouter 402 error when calling responses.create?,cfb07a27d5
What is the recommended max_output_tokens limit for Module 1 homework?,cfb07a27d5
Why does OpenRouter behave differently from OpenAI in terms of error handling?,cfb07a27d5
What should I do if I still encounter issues with OpenRouter after setting max_output_tokens?,cfb07a27d5
What happens if I point RAG at the full documents instead of the chunk index in the homework?,b4300adeb1
How do I build and search the index using the chunked documents?,b4300adeb1
What is the purpose of using chunked documents when building the index?,b4300adeb1
Can I use the original full documents to fit the search index?,b4300adeb1
How does pointing RAG at the chunk index reduce the context sent to the model?,b4300adeb1
What if my homework answer is close to but not exactly one of the options?,5e4ca64cb5
Are there cases where my numeric answer doesn't have to match an option exactly?,5e4ca64cb5
How do I handle small differences between my answer and the given options?,5e4ca64cb5
What should I do if my answer doesn't match any option closely?,5e4ca64cb5
How can I determine if my answer is close enough to one of the provided options?,5e4ca64cb5
What do I do if homework questions are unclear?,7d3a2e3505
How do I find the homework instructions for Module 1?,7d3a2e3505
Can I ask for help on Slack if I don't understand the homework?,7d3a2e3505
What should I include when asking for help on Slack?,7d3a2e3505
Where can I find guidelines for asking questions on Slack?,7d3a2e3505
"What if I'm using a different AI provider for my Module 1 homework, how do I get the token count then?",fe8fed31e6
Can I use tiktoken for token count with providers like Gemini or Mistral?,fe8fed31e6
How do I find token usage information if my provider doesn't expose it directly?,fe8fed31e6
What should I do if my provider doesn't return usage information like input_tokens?,fe8fed31e6
"Is there a universal way to get token counts for all providers, or do I need to check each one separately?",fe8fed31e6
What if my homework submission is rejected with a non-200 status code?,bcdb8740ce
How do I make my repo URL publicly reachable?,bcdb8740ce
Why does my repo URL return a 500 status code when submitted?,bcdb8740ce
Can I submit a private repo URL for homework?,bcdb8740ce
What if I accidentally add .git to the end of my repo URL?,bcdb8740ce
What exactly does converting non-numerical data into numerical data mean?,69430a79a8
How do I know if my data is suitable for embeddings?,69430a79a8
What kind of algorithms are used for creating embeddings?,69430a79a8
Can embeddings be used for text data only?,69430a79a8
How do embeddings help in finding similar data?,69430a79a8
How do I get rid of the warning about model 'multi-qa-mpnet-base-dot-v1' being made on sentence transformers v3.0.0 beta?,aa3f597424
What do I need to do to suppress the warning about sentence transformers version mismatch?,aa3f597424
Is there a way to silence the warning about model version compatibility?,aa3f597424
What version of sentence-transformers do I need to install to avoid this warning?,aa3f597424
How can I upgrade sentence-transformers to the version that is compatible with the model?,aa3f597424
Why did the lesson use .dot to compute cosine similarity but the homework required normalization?,92cd22cada
Can I use dot product as cosine similarity if my embeddings are already unit length?,92cd22cada
What kind of embeddings need to be normalized before computing cosine similarity?,92cd22cada
Are model encode embeddings from OpenAI already normalized to unit length?,92cd22cada
Do I need to normalize classic embeddings like TF-IDF + SVD for cosine similarity?,92cd22cada
"When doing vector search, what exactly should I embed - the question, the answer, or both?",5c4a8d2e60
"Is it better to embed just the answer, just the question, or a combination of both for vector search?",5c4a8d2e60
"For vector search, should I embed the question, the answer, or concatenate them and embed the result?",5c4a8d2e60
"What are the different approaches to embedding data for vector search, and which one should I use?",5c4a8d2e60
"How do I decide whether to embed the question, the answer, or both in vector search for best results?",5c4a8d2e60
What does a cosine similarity of 1 mean between two vectors?,db78580409
How is cosine similarity used in text analysis?,db78580409
Can cosine similarity be used for vectors with zero magnitude?,db78580409
What is the range of values for cosine similarity?,db78580409
Is cosine similarity suitable for comparing documents with different lengths?,db78580409
What is cosine similarity and how does it work?,95feb4e75b
Why do we normalize vectors to unit length in cosine similarity?,95feb4e75b
How does cosine similarity relate to dot product?,95feb4e75b
What makes matrix multiplication efficient for computing similarities?,95feb4e75b
Why does cosine similarity reduce to a simple dot product for unit vectors?,95feb4e75b
Do I need to create a new GitHub repository for each module or just a new codespace?,1e829a8c6f
Can I use the same codespace for multiple modules?,1e829a8c6f
What happens if I don't commit my code in Codespaces and I delete it later?,1e829a8c6f
Is it necessary to create a separate codespace for Module 2 due to its dependencies?,1e829a8c6f
How do I set up a new codespace for Module 2 without creating a new GitHub repo?,1e829a8c6f
Why does download.py get stuck at 0% when trying to download model.onnx from HuggingFace?,29b69fbe0b
What causes download.py to hang at 0% when downloading model.onnx?,29b69fbe0b
How do I fix the issue with download.py hanging at 0% when downloading model.onnx from HuggingFace?,29b69fbe0b
Is there an alternative way to download model.onnx if download.py hangs at 0%?,29b69fbe0b
What can I do if download.py is not downloading model.onnx from HuggingFace and is stuck at 0%?,29b69fbe0b
Why are matrix and for-loop vector search results slightly different?,e889793af9
Is the difference in vector search results due to a bug?,e889793af9
How can I compare vector search results from matrix and for-loop methods?,e889793af9
What causes floating-point precision issues in vector search?,e889793af9
How do I account for floating-point precision when comparing vector search scores?,e889793af9
"I'm getting an IndexError when trying to access the best chunk, what's going on?",1a7b27c4df
Why does my list index out of range error occur when I'm trying to get the best chunk?,1a7b27c4df
"I'm generating embeddings and getting an IndexError, is there a mismatch in my data?",1a7b27c4df
How can I avoid getting an IndexError when accessing chunks in my embedding list?,1a7b27c4df
What could be the reason for an IndexError when I'm trying to access the best chunk from my embeddings?,1a7b27c4df
What if my cosine similarity doesn't match any options in Q2 of Module 2 homework?,eaa17a9dc6
How do I fix my Module 2 homework if my cosine similarity isn't among the given options?,eaa17a9dc6
What embedding model should I use for Module 2 homework Q2?,eaa17a9dc6
Why is my cosine similarity in Module 2 homework Q2 not matching any of the provided options?,eaa17a9dc6
What are common mistakes to avoid when doing Module 2 homework Q2 to get the correct cosine similarity?,eaa17a9dc6
What are the steps to configure API keys for Kestra module?,3860e5fe8b
How do I export environment variables for Gemini API key?,3860e5fe8b
What is the purpose of base64-encoding the API keys?,3860e5fe8b
Can I reference secrets with the 'SECRET_' prefix in a flow?,3860e5fe8b
How do I restart Kestra to pick up the new environment variables?,3860e5fe8b
What does Kestra AI Copilot's 'I can only assist with creating Kestra flows' message mean?,04440cab11
How do I set the GEMINI_API_KEY for Kestra AI Copilot?,04440cab11
Why is Kestra AI Copilot still not working after setting GEMINI_API_KEY?,04440cab11
Can I use the same API key for Kestra AI Copilot and agent flows?,04440cab11
What should I do if I've hit the free-tier quota for Google AI Studio?,04440cab11
Why does my Kestra flow still fail with an invalid key even though I set SECRET_GEMINI_API_KEY?,c8ca21af33
How do I properly encode my Gemini API key to use in Kestra?,c8ca21af33
What do I need to do after exporting SECRET_GEMINI_API_KEY for Kestra to use it?,c8ca21af33
How should I reference my secret API key in Kestra flows?,c8ca21af33
Can I use a .env file to pass my API key to Kestra instead of exporting it?,c8ca21af33
Why can't I just run my code in a notebook instead of using orchestration?,193612db63
What makes Kestra different from just running scripts in notebooks?,193612db63
Do I really need scheduling and retries for my AI workflows?,193612db63
Can I use Kestra with different AI providers like OpenAI or Gemini?,193612db63
How does Kestra help with managing secrets and chaining tasks together?,193612db63
Is Kestra the only orchestrator I can use for the LLM Zoomcamp course?,cce328db64
Can I use Airflow instead of Kestra for the Module 3 homework?,cce328db64
Do I have to use Kestra for the capstone project?,cce328db64
Are there any restrictions on the orchestrator I can use for the capstone project?,cce328db64
Can I use a plain Python script for the ingestion pipeline in the capstone project?,cce328db64
What are the AI providers supported by Kestra's AI plugin besides Gemini?,f442efe5b4
Can I use Groq or Ollama with Kestra's AI plugin?,f442efe5b4
How do I use a local model with Kestra's AI plugin?,f442efe5b4
What are the two ways to use AI in Kestra and what are the differences between them?,f442efe5b4
Can I use provider-specific plugins like plugin-gemini or plugin-openai with Kestra?,f442efe5b4
Is there a no-code option for using Kestra or do I have to write code?,bfe5502c30
Can I build a Kestra flow without writing any YAML or code?,bfe5502c30
What are my options for creating a Kestra flow without coding?,bfe5502c30
Does Kestra offer a drag-and-drop interface for building flows or is it only form-based?,bfe5502c30
How does Kestra compare to tools like Zapier or n8n in terms of ease of use and features?,bfe5502c30
Why does ChatGPT generate Kestra flow YAML with properties that don't exist?,93a3e8b98c
How can I avoid generating invalid Kestra flow YAML with AI?,93a3e8b98c
What are the differences between the properties generated by AI and the actual properties in Kestra?,93a3e8b98c
Can I use the built-in AI Copilot to generate Kestra flow YAML?,93a3e8b98c
How do I validate if the generated YAML is correct and will run as expected in my Kestra environment?,93a3e8b98c
What is the main reason for monitoring token usage in Kestra workflows?,a4adc70f41
How does tracking token usage help with prompt optimization?,a4adc70f41
Why is token usage monitoring necessary for long-running or looping flows?,a4adc70f41
How can I keep track of token usage for each AI task in a Kestra flow?,a4adc70f41
What are the consequences of not monitoring token usage in Kestra workflows?,a4adc70f41
What does 'mounts denied: The path /tmp/... is not shared from the host' error in Docker mean?,dd8b4c9fda
How do I add a path to Docker Desktop's file sharing list?,dd8b4c9fda
Why does Docker Desktop need access to the host path for a container?,dd8b4c9fda
What should I do after adding a path to Docker Desktop's file sharing list?,dd8b4c9fda
How do I restart Kestra after fixing the Docker file sharing issue?,dd8b4c9fda
What exactly do I need to submit for the Module 3 homework if I did everything in Kestra?,f29f622684
Do I need to put my Kestra flow files in a specific folder in the repo?,f29f622684
Can I just upload my Kestra flows to a private repo and share the link?,f29f622684
"What if my Kestra flows call scripts that I wrote, do I need to include those too?",f29f622684
Is a README file required for the submission or can I just upload the flow files?,f29f622684
Why does json.loads() fail when generating ground-truth questions with LLM?,a3c7e1b4f9
How can I force JSON output from OpenAI's chat completion?,a3c7e1b4f9
What is the best way to specify the expected output format in a prompt?,a3c7e1b4f9
What are some equivalent ways to get JSON output from other LLM providers?,a3c7e1b4f9
How do I fix JSONDecodeError when getting response from LLM?,a3c7e1b4f9
"My Jupyter kernel keeps crashing when I try to embed the ground-truth set, what's going on?",b8f2d6a30c
"I'm getting a memory error when loading an embedding model in my notebook, any solutions?",b8f2d6a30c
Is there a way to avoid running out of memory when using a large embedding model in my notebook?,b8f2d6a30c
"I want to switch to a smaller embedding model, will that affect my evaluation metrics?",b8f2d6a30c
How can I free up memory in my notebook when processing a large ground-truth set?,b8f2d6a30c
What are the rate limits for the free tier of Gemini and how can I avoid hitting them while generating a ground-truth dataset?,c1e9f4b820
Is there a cheap alternative to Gemini for generating the ground-truth dataset that has higher rate limits?,c1e9f4b820
Can I use Groq's free tier for generating the ground-truth dataset and what are its benefits?,c1e9f4b820
How can I modify my code to lower concurrency for thread-pool calls and avoid hitting the rate limits?,c1e9f4b820
What can I do if I hit the rate limit while generating the ground-truth dataset and lose my progress?,c1e9f4b820
"I'm getting an OSError when trying to import torch in Windows, what can I do to fix it?",15e931476c
"The error message says a module could not be found in torch, how do I resolve this?",15e931476c
"I've installed PyTorch but still getting an error about a missing dll, what's the solution?",15e931476c
What are the possible solutions to the OSError [WinError 126] when importing torch in Windows?,15e931476c
"I'm getting an error loading fbgemm.dll when importing torch, how can I fix this issue?",15e931476c
"I'm getting an OperationalError when running python prep.py, it says it can't find the host postgres, what do I do?",4b65d5542d
How do I fix the error that says it can't translate host name postgres to address?,4b65d5542d
"I'm running into an issue with psycopg2 when running python prep.py, how can I resolve the OperationalError?",4b65d5542d
What do I do when I get an error saying could not translate host name postgres to address?,4b65d5542d
"Getting OperationalError when running python prep.py, how do I change the host name to fix it?",4b65d5542d
How do I make pandas display the full text in a column?,641aedbbf5
What is the pandas setting to show entire text content in a column?,641aedbbf5
How can I stop pandas from truncating text in a column?,641aedbbf5
What is the default character limit for text in a pandas column?,641aedbbf5
How do I change the max width of a column in pandas to show full text?,641aedbbf5
What's the best way to normalize vectors in a Pandas DataFrame column?,5039707c1a
How do I normalize a Pandas Series using Python?,5039707c1a
Can I use NumPy to normalize vectors in a Pandas DataFrame?,5039707c1a
What's the simplest way to apply vector normalization to a Pandas DataFrame column?,5039707c1a
How do I normalize vectors using L2 norm in a Pandas DataFrame?,5039707c1a
What is the Python code to calculate the 75th percentile of a column in a Pandas DataFrame?,b4c8ac5a0c
How do I find the 0.75 quantile of a Pandas Series?,b4c8ac5a0c
Can I use the quantile function to get the percentile of a DataFrame column?,b4c8ac5a0c
What is the syntax to compute the 75% percentile of a Pandas DataFrame column?,b4c8ac5a0c
How to get the 75th percentile value from a Pandas DataFrame column using Python?,b4c8ac5a0c
How do I delete all running and stopped Docker containers at once?,66ccbb7da0
What is the command to remove all Docker images?,66ccbb7da0
Can I delete all Docker volumes with a single command?,66ccbb7da0
"How do I clean up my Docker environment by removing containers, images, and volumes?",66ccbb7da0
What are the steps to completely reset my Docker setup?,66ccbb7da0
How can I limit user feedback to once per submission in Streamlit?,2e729f1271
Why does `st.session.submitted` get reset to False after submitting a form?,2e729f1271
Is there a way to disable feedback buttons after a user submits a form?,2e729f1271
Can I use `st.session.submitted` to track if a user has given feedback before?,2e729f1271
How do I prevent multiple feedback submissions from the same user in Streamlit?,2e729f1271
Why does my Streamlit app work outside of docker-compose but not inside?,e8df9f0d12
What do I do if I get an 'executable file not found in $PATH' error when running Streamlit with docker-compose?,e8df9f0d12
"How can I fix the docker-compose error 'unable to start container process: exec: ""streamlit"": executable file not found in $PATH'?",e8df9f0d12
What are the steps to resolve the 'OCI runtime create failed' error when trying to run a Streamlit app with docker-compose?,e8df9f0d12
